questionnumber,query,response
29,Find all movies released in the 1980s,"MATCH (m:Movie) WHERE m.released_year >= 1980 AND m.released_year <= 1989 RETURN m.title, m.released_year"
30,Find all movies directed by Alfred Hitchcock,"MATCH (d:Director {name: 'Alfred Hitchcock'})-[:DIRECTED]->(m:Movie) RETURN m"
31,Find all movies featuring both Jim Carrey and Tommy Lee Jones,"MATCH (a1:Actor {name: 'Jim Carrey'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(a2:Actor {name: 'Tommy Lee Jones'}) RETURN m"
32,Find movies where Morgan Freeman and Clint Eastwood collaborated,"MATCH (a1:Actor {name: 'Morgan Freeman'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(a2:Actor {name: 'Clint Eastwood'}) RETURN m"
33,List all drama movies from 1970 to 1980,"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre {name: 'Drama'}) WHERE m.released_year >= 1970 AND m.released_year <= 1980 RETURN m.title, m.released_year"
34,Find all movies with a runtime less than 90 minutes,"MATCH (m:Movie) WHERE m.runtime < 90 RETURN m.title"
35,Find movies where Daniel Day-Lewis and Martin Scorsese collaborated,"MATCH (a:Actor {name: 'Daniel Day-Lewis'})-[:ACTED_IN]->(m:Movie)<-[:DIRECTED]-(d:Director {name: 'Martin Scorsese'}) RETURN m"
36,Find the top-rated thriller movies from the 1990s,"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre {name: 'Thriller'}) WHERE m.released_year >= 1990 AND m.released_year < 2000 AND m.imdb_rating > 8 RETURN m.title, m.imdb_rating"
37,Find all movies with an IMDb rating below 5,"MATCH (m:Movie) WHERE m.imdb_rating < 5 RETURN m.title, m.imdb_rating"
38,What are the most popular superhero movies from the 2000s?,"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre {name: 'Action'}) WHERE m.released_year >= 2000 AND m.released_year < 2010 AND m.imdb_rating > 7 RETURN m.title, m.imdb_rating"
39,Find all movies with a runtime between 90 and 120 minutes,"MATCH (m:Movie) WHERE m.runtime >= 90 AND m.runtime <= 120 RETURN m.title, m.runtime"
40,Find movies with the most nominations at the Academy Awards,"MATCH (m:Movie) WHERE m.oscar_nominations > 10 RETURN m.title, m.oscar_nominations"
41,Find the best-rated horror movies of all time,"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre {name: 'Horror'}) WHERE m.imdb_rating > 8 RETURN m.title, m.imdb_rating"
42,What are the most popular movies with a rating above 9 from the 2010s?,"MATCH (m:Movie) WHERE m.released_year >= 2010 AND m.released_year < 2020 AND m.imdb_rating > 9 RETURN m.title, m.imdb_rating"
43,Find movies where Charlize Theron and Tom Hardy collaborated,"MATCH (a1:Actor {name: 'Charlize Theron'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(a2:Actor {name: 'Tom Hardy'}) RETURN m"
44,Find all movies directed by Steven Spielberg from the 1980s,"MATCH (d:Director {name: 'Steven Spielberg'})-[:DIRECTED]->(m:Movie) WHERE m.released_year >= 1980 AND m.released_year <= 1989 RETURN m"
45,Find all mystery movies from the 2000s,"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre {name: 'Mystery'}) WHERE m.released_year >= 2000 AND m.released_year < 2010 RETURN m.title"
46,Find movies where Hugh Jackman and James Mangold collaborated,"MATCH (a1:Actor {name: 'Hugh Jackman'})-[:ACTED_IN]->(m:Movie)<-[:DIRECTED]-(d:Director {name: 'James Mangold'}) RETURN m"
47,Find all movies in the fantasy genre released between 2000 and 2010,"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre {name: 'Fantasy'}) WHERE m.released_year >= 2000 AND m.released_year <= 2010 RETURN m.title, m.released_year"
48,Find all movies directed by Coen Brothers,"MATCH (d:Director {name: 'Coen Brothers'})-[:DIRECTED]->(m:Movie) RETURN m"
49,Find the most popular historical movies with an IMDb rating above 7,"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre {name: 'History'}) WHERE m.imdb_rating > 7 RETURN m.title, m.imdb_rating"
50,Find all movies with an IMDb rating between 5 and 6,"MATCH (m:Movie) WHERE m.imdb_rating >= 5 AND m.imdb_rating < 6 RETURN m.title, m.imdb_rating"
51,Find the most popular movies in the musical genre,"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre {name: 'Musical'}) WHERE m.imdb_rating > 7 RETURN m.title, m.imdb_rating"
52,Find all movies released between 1995 and 2005,"MATCH (m:Movie) WHERE m.released_year >= 1995 AND m.released_year <= 2005 RETURN m.title"
53,Find movies starring both Natalie Portman and Keira Knightley,"MATCH (a1:Actor {name: 'Natalie Portman'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(a2:Actor {name: 'Keira Knightley'}) RETURN m"
54,Find all movies with an IMDb rating above 8 from the 1980s,"MATCH (m:Movie) WHERE m.released_year >= 1980 AND m.released_year < 1990 AND m.imdb_rating > 8 RETURN m.title, m.imdb_rating"
55,Find all action movies from the 2010s,"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre {name: 'Action'}) WHERE m.released_year >= 2010 AND m.released_year < 2020 RETURN m.title"
56,Find all crime movies with an IMDb rating above 7,"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre {name: 'Crime'}) WHERE m.imdb_rating > 7 RETURN m.title, m.imdb_rating"
57,Find all movies where Will Ferrell and John C. Reilly collaborated,"MATCH (a1:Actor {name: 'Will Ferrell'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(a2:Actor {name: 'John C. Reilly'}) RETURN m"
58,Find movies where Leonardo DiCaprio and Martin Scorsese collaborated,"MATCH (a1:Actor {name: 'Leonardo DiCaprio'})-[:ACTED_IN]->(m:Movie)<-[:DIRECTED]-(d:Director {name: 'Martin Scorsese'}) RETURN m"
59,List all fantasy movies directed by Guillermo del Toro,"MATCH (d:Director {name: 'Guillermo del Toro'})-[:DIRECTED]->(m:Movie)-[:IN_GENRE]->(g:Genre {name: 'Fantasy'}) RETURN m"
60,Find all movies with an IMDb rating above 7 from the 2010s,"MATCH (m:Movie) WHERE m.released_year >= 2010 AND m.released_year < 2020 AND m.imdb_rating > 7 RETURN m.title"
